Exp.,Desc.,Dataset,Sampling,Model,Accuracy,Precision,Recall,F1_score
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L5,LOGISTIC,0.9,0.917,0.88,0.898
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L5,RANDOM_FOREST,0.975,0.952,1.0,0.976
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L15,SVM,0.73,0.811,0.6,0.69
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L15,KNN,0.985,1.0,0.97,0.985
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L15,XGB,1.0,1.0,1.0,1.0
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L15,LOGISTIC,0.83,0.8,0.88,0.838
Experiment 6,Dropping correlated barcode statistics columns before evaluating model performance,Default of Credit Card Client Dataset,L15,RANDOM_FOREST,1.0,1.0,1.0,1.0
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L1.36,SVM,0.855,0.845,0.87,0.857
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L1.36,KNN,0.86,0.867,0.85,0.859
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L1.36,XGB,0.855,0.845,0.87,0.857
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L1.36,LOGISTIC,0.86,0.86,0.86,0.86
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L1.36,RANDOM_FOREST,0.865,0.861,0.87,0.866
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L2.71,SVM,0.95,0.969,0.93,0.949
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L2.71,KNN,0.955,0.969,0.94,0.954
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L2.71,XGB,0.94,0.958,0.92,0.939
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L2.71,LOGISTIC,0.95,0.969,0.93,0.949
Experiment 7,Evaluating equivalent sample sizes for datasets (Setting the Default of Credit Card Client Dataset to same sampling size as Statlog's L30 and L60.,Default of Credit Card Client Dataset,L2.71,RANDOM_FOREST,0.945,0.968,0.92,0.944
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L5,SVM,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L5,KNN,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L5,XGB,0.995,1.0,0.99,0.995
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L5,LOGISTIC,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L5,RANDOM_FOREST,0.995,1.0,0.99,0.995
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L15,SVM,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L15,KNN,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L15,XGB,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L15,LOGISTIC,1.0,1.0,1.0,1.0
Experiment 8,Retaining similar variance via PCA (Setting the Default of Credit Card Dataset to same variance retained as Statlog's 89%),Default of Credit Card Client Dataset,L15,RANDOM_FOREST,1.0,1.0,1.0,1.0
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L30,SVM,0.81,0.6,0.15,0.24
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L30,KNN,0.775,0.407,0.275,0.328
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L30,XGB,0.79,0.458,0.275,0.344
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L30,LOGISTIC,0.82,0.643,0.225,0.333
Experiment 9,Training with mixed classes on imbalanced data - How do models perform under class imbalance,Statlog German Credit Dataset,L30,RANDOM_FOREST,0.815,0.615,0.2,0.302
