model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6817419528961182,polish_bankruptcy,historical,10.0,historical500,400,100,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03714489936828613,polish_bankruptcy,historical,20.0,historical500,400,100,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7700614929199219,polish_bankruptcy,historical,20.0,historical500,400,100,barcode
svm,0.985,0.985,0.9801980198019802,0.99,0.9850746268656716,0.9985,0.9985805987234007,0.061058759689331055,polish_bankruptcy,historical,20.0,historical500,400,100,barcode
knn,0.985,0.985,0.9801980198019802,0.99,0.9850746268656716,0.9949,0.995,0.06875967979431152,polish_bankruptcy,historical,20.0,historical500,400,100,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1443347930908203,polish_bankruptcy,historical,20.0,historical500,400,100,barcode
logistic,0.927,0.927,0.8726003490401396,1.0,0.9319664492078286,1.0,1.0,0.03127002716064453,polish_bankruptcy,clean,10.0,historical500,500,500,barcode
random_forest,0.98,0.98,0.9615384615384616,1.0,0.9803921568627451,0.9956600000000001,0.9952641467233958,0.7672579288482666,polish_bankruptcy,clean,10.0,historical500,500,500,barcode
svm,0.794,0.794,0.7082152974504249,1.0,0.8291873963515755,1.0,1.0,0.2061769962310791,polish_bankruptcy,clean,10.0,historical500,500,500,barcode
knn,0.895,0.895,0.8264462809917356,1.0,0.9049773755656109,0.948,0.9057971014492754,0.132415771484375,polish_bankruptcy,clean,10.0,historical500,500,500,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17142939567565918,polish_bankruptcy,clean,10.0,historical500,500,500,barcode
logistic,0.938,0.938,0.8896797153024911,1.0,0.9416195856873822,1.0,1.0,0.0359194278717041,polish_bankruptcy,clean,20.0,historical500,500,500,barcode
random_forest,0.983,0.983,0.9782178217821782,0.988,0.9830845771144279,0.999136,0.9991328769389962,0.7465150356292725,polish_bankruptcy,clean,20.0,historical500,500,500,barcode
svm,0.628,0.628,0.573394495412844,1.0,0.7288629737609329,0.99942,0.9993918552113867,0.15045428276062012,polish_bankruptcy,clean,20.0,historical500,500,500,barcode
knn,0.928,0.9279999999999999,0.8741258741258742,1.0,0.9328358208955224,0.9329999999999999,0.8818342151675485,0.13021159172058105,polish_bankruptcy,clean,20.0,historical500,500,500,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17995071411132812,polish_bankruptcy,clean,20.0,historical500,500,500,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016298770904541016,taiwan_bankruptcy,historical,10.0,historical500,400,100,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7230288982391357,taiwan_bankruptcy,historical,10.0,historical500,400,100,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019931554794311523,taiwan_bankruptcy,historical,10.0,historical500,400,100,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06522035598754883,taiwan_bankruptcy,historical,10.0,historical500,400,100,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1368885040283203,taiwan_bankruptcy,historical,10.0,historical500,400,100,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017608165740966797,taiwan_bankruptcy,historical,20.0,historical500,400,100,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7189788818359375,taiwan_bankruptcy,historical,20.0,historical500,400,100,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022802114486694336,taiwan_bankruptcy,historical,20.0,historical500,400,100,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06029152870178223,taiwan_bankruptcy,historical,20.0,historical500,400,100,barcode
xgb,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13968348503112793,taiwan_bankruptcy,historical,20.0,historical500,400,100,barcode
logistic,0.937,0.937,0.8880994671403197,1.0,0.940733772342427,1.0,1.0,0.018117189407348633,taiwan_bankruptcy,clean,10.0,historical500,500,500,barcode
random_forest,0.879,0.879,0.8051529790660226,1.0,0.8920606601248885,0.999378,0.9994389333536848,0.757784366607666,taiwan_bankruptcy,clean,10.0,historical500,500,500,barcode
svm,0.978,0.978,0.9578544061302682,1.0,0.9784735812133072,1.0,1.0,0.03487539291381836,taiwan_bankruptcy,clean,10.0,historical500,500,500,barcode
knn,0.988,0.988,0.9765625,1.0,0.9881422924901185,0.999,0.998003992015968,0.12315177917480469,taiwan_bankruptcy,clean,10.0,historical500,500,500,barcode
xgb,0.976,0.976,0.9630350194552529,0.99,0.9763313609467456,0.99464,0.990667250143946,0.1553492546081543,taiwan_bankruptcy,clean,10.0,historical500,500,500,barcode
logistic,0.977,0.977,0.9577735124760077,0.998,0.9774730656219393,0.999652,0.999660270817233,0.01771259307861328,taiwan_bankruptcy,clean,20.0,historical500,500,500,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736443042755127,taiwan_bankruptcy,clean,20.0,historical500,500,500,barcode
svm,0.995,0.995,0.9940119760479041,0.996,0.995004995004995,0.999896,0.9998958569630805,0.024302959442138672,taiwan_bankruptcy,clean,20.0,historical500,500,500,barcode
knn,0.99,0.99,0.9803921568627451,1.0,0.9900990099009901,0.9989999999999999,0.998003992015968,0.11436629295349121,taiwan_bankruptcy,clean,20.0,historical500,500,500,barcode
